Date;Spieler;Lvl;XP Bar
2016-07-16;Thombay;1;0
2019-09-20;Thombay;30;63693
2019-10-17;Thombay;34;165521
2020-01-09;Babsi;37;198404
2020-07-29;Thombay;54;898447
2025-01-12;Thombay;57;905691
2025-01-19;Thombay;57;1091421
2025-04-26;Thombay;61;1208529
2025-04-29;Thombay;61;1352554
2025-05-21;Thombay;61;2571346
2025-06-27;Thombay;63;1394789
2025-07-20;Thombay;64;3647000
2025-08-25;Thombay;65;4212284
2025-09-22;Thombay;67;1066574
2025-10-22;Thombay;67;4627164
2025-11-16;Thombay;68;6691590
2025-12-21;Cerius;57;1917345
2025-12-21;Thombay;69;6534860
2025-12-21;Thomzay;47;115479
2026-02-05;Azog;70;118573736
2026-02-05;Babsi;66;516937
2026-02-05;Cerius;58;2557883
2026-02-05;Gloria;53;1264267
2026-02-05;Martin;56;928080
2026-02-05;Paul;51;959583
2026-02-05;Tastef;75;216248345
2026-02-05;Thombay;70;6534860
2026-02-05;Thomzay;48;1130685
2026-02-10;13TurboDoudl12;66;3656770
2026-02-10;86Berni;74;80517651
2026-02-10;90erTom;68;4410324
2026-02-10;AnSaCruiser;77;460541521
2026-02-10;Azog;71;110784011
2026-02-10;Babsi;66;556837
2026-02-10;Cerius;58;2739886
2026-02-10;Gloria;53;1264267
2026-02-10;Janajo2022;62;3851558
2026-02-10;LuanY3lloW;75;76843407
2026-02-10;LuanY3lloW2023;37;85791
2026-02-10;Martin;56;1240955
2026-02-10;Paul;51;1001493
2026-02-10;Prinzessina14;63;418549
2026-02-10;RedAtomika;74;21641497
2026-02-10;SecretSaphir;66;5366929
2026-02-10;Simon;71;136568557
2026-02-10;Steirer985;60;648957
2026-02-10;SwanHill666;71;97867922
2026-02-10;Tastef;75;217967141
2026-02-10;Thombay;70;6821968
2026-02-10;Thomzay;49;3102
2026-02-10;Trada17;72;125542426
2026-02-10;phiiilgood;59;2341486
2026-02-16;13TurboDoudl12;66;3952479
2026-02-16;86Berni;74;81939200
2026-02-16;90erTom;68;5182401
2026-02-16;AnSaCruiser;77;462748683
2026-02-16;Azog;71;111448483
2026-02-16;Babsi;66;1332771
2026-02-16;Cerius;59;478575
2026-02-16;Gloria;53;1264267
2026-02-16;Janajo2022;62;4014158
2026-02-16;LuanY3lloW;76;67335778
2026-02-16;LuanY3lloW2023;37;114296
2026-02-16;Martin;56;2141599
2026-02-16;Paul;51;1289446
2026-02-16;Prinzessina14;63;1361631
2026-02-16;RedAtomika;74;24527808
2026-02-16;SecretSaphir;66;5594759
2026-02-16;Simon;71;136724957
2026-02-16;Steirer985;60;884597
2026-02-16;SwanHill666;71;98482162
2026-02-16;Tastef;76;208832278
2026-02-16;Thombay;70;8545730
2026-02-16;Thomzay;49;512011
2026-02-16;Trada17;72;126193802
2026-02-16;phiiilgood;60;1327001
2026-02-23;13TurboDoudl12;66;4357644
2026-02-23;86Berni;74;83094088
2026-02-23;90erTom;68;6026831
2026-02-23;AnSaCruiser;77;464473812
2026-02-23;Azog;71;111769193
2026-02-23;Babsi;66;1575238
2026-02-23;Cerius;59;1091871
2026-02-23;Gloria;53;1264267
2026-02-23;Janajo2022;63;62363
2026-02-23;LuanY3lloW;76;68973473
2026-02-23;LuanY3lloW2023;37;114296
2026-02-23;Martin;57;222269
2026-02-23;Paul;51;1532096
2026-02-23;Prinzessina14;63;1938071
2026-02-23;RedAtomika;74;24972177
2026-02-23;SecretSaphir;67;40759
